support,confidence,num_rules
0.19333333333333336,0.8140000000000001,20
0.19333333333333336,0.83,20
0.19333333333333336,0.846,20
0.19333333333333336,0.862,20
0.19333333333333336,0.878,20
0.19333333333333336,0.894,20
0.19333333333333336,0.91,20
0.19333333333333336,0.9259999999999999,20
0.19333333333333336,0.942,20
0.19333333333333336,0.958,20
0.19333333333333336,0.974,20
0.19333333333333336,0.99,20
0.2,0.75,20
0.2,0.766,20
0.2,0.782,20
0.2,0.798,20
0.2,0.8140000000000001,20
0.2,0.83,20
0.2,0.846,20
0.2,0.862,20
0.2,0.878,20
0.2,0.894,20
0.2,0.91,20
0.2,0.9259999999999999,20
0.2,0.942,20
0.2,0.958,20
0.2,0.974,20
0.2,0.99,20
